experiment,ion,filename,area
3,glutamate M0,M21,199420251.15140301
3,glutamate M0,M22,199682336.903133
3,glutamate M0,M23,199335771.97401401
3,glutamate M0,M24,195243807.523646
3,glutamate M1,M21,11898681.9228241
3,glutamate M1,M22,11815259.3261183
3,glutamate M1,M23,11841748.090786001
3,glutamate M1,M24,11940048.9530838
3,serine M0,M21,95580687.021034107
3,serine M0,M22,93189587.497518495
3,serine M0,M23,95989603.162233606
3,serine M0,M24,97470557.027579904
3,serine M1,M21,3474954.3542787898
3,serine M1,M22,3455016.84873304
3,serine M1,M23,3428688.5954796299
3,serine M1,M24,3554816.80536108
3,aspartate M0,M21,56779268.028719701
3,aspartate M0,M22,55227315.904455602
3,aspartate M0,M23,56961938.321298502
3,aspartate M0,M24,55543545.982485898
3,aspartate M1,M21,2741321.8409736399
3,aspartate M1,M22,2613739.0159264398
3,aspartate M1,M23,2672578.2428775099
3,aspartate M1,M24,2667511.7040321799
3,2HG M0,M21,340067959.21319199
3,2HG M0,M22,336702275.77677202
3,2HG M0,M23,324142392.93506199
3,2HG M0,M24,329542570.40824503
3,2HG M1,M21,21002034.550927099
3,2HG M1,M22,20667423.451755699
3,2HG M1,M23,19895469.307565399
3,2HG M1,M24,20229383.837334901
3,succinate M0,M21,104999755.82692
3,succinate M0,M22,94089154.681116596
3,succinate M0,M23,97414944.830859393
3,succinate M0,M24,96293253.948541194
3,succinate M1,M21,5130360.92934494
3,succinate M1,M22,4604513.2703234702
3,succinate M1,M23,4799127.5598234804
3,succinate M1,M24,4755255.2990919603
3,2OG M0,M21,128971072.873577
3,2OG M0,M22,128237229.954033
3,2OG M0,M23,126639016.260089
3,2OG M0,M24,129042422.52990299
3,2OG M1,M21,7939187.2531901598
3,2OG M1,M22,7662138.48744273
3,2OG M1,M23,7486683.9115869198
3,2OG M1,M24,7750269.5785138803
3,malate M0,M21,380863505.35793698
3,malate M0,M22,365848964.25354099
3,malate M0,M23,376486936.41449499
3,malate M0,M24,365452380.148247
3,malate M1,M21,18703072.0616851
3,malate M1,M22,17930252.469368398
3,malate M1,M23,18358705.024256501
3,malate M1,M24,17789604.881778099
3,citrate M0,M21,9283280.6803428307
3,citrate M0,M22,9193541.2706180997
3,citrate M0,M23,8812454.7246389594
3,citrate M0,M24,8668755.6113310996
3,citrate M1,M21,664659.60575392505
3,citrate M1,M22,699844.79807947599
3,citrate M1,M23,674484.01040289504
