experiment,ion,filename,area
7,serine M0,M62,11639278.27
7,serine M0,M63,11443290.98
7,serine M1,M61,456163.7378
7,serine M1,M62,457535.7918
7,serine M1,M63,430731.4443
7,succinate M0,M61,30589721.56
7,succinate M0,M62,31151884.64
7,succinate M0,M63,30067516.23
7,succinate M1,M61,1461643.312
7,succinate M1,M62,1489475.295
7,succinate M1,M63,1485650.183
8,2HG M0,M71,185071081.3
8,2HG M0,M72,184240485.6
8,2HG M0,M73,184344972.9
8,2HG M1,M71,10913343.07
8,2HG M1,M72,10951307.61
8,2HG M1,M73,10922426.86
8,2OG M0,M71,66882345.12
8,2OG M0,M72,68044265.31
8,2OG M0,M73,68493105.06
8,2OG M1,M71,4008821.544
8,2OG M1,M72,4027833.114
8,2OG M1,M73,3998329.233
8,alanine M0,M71,81647543.35
8,alanine M0,M72,77492353.87
8,alanine M0,M73,80586337.04
8,alanine M1,M71,2707676.32
8,alanine M1,M72,2508261.152
8,alanine M1,M73,2826622.456
8,aspartate M0,M71,63660276.3
8,aspartate M0,M72,59832342.53
8,aspartate M0,M73,62610831.81
8,aspartate M1,M71,3152957.543
8,aspartate M1,M72,2905395.322
8,aspartate M1,M73,3128584.39
8,citrate M0,M71,122008523.3
8,citrate M0,M72,126865462.7
8,citrate M0,M73,126466246.8
8,citrate M1,M71,8656226.81
8,citrate M1,M72,9037455.018
8,citrate M1,M73,8836149.686
8,glutamate M0,M71,78537718.56
8,glutamate M0,M72,77547282.95
8,glutamate M0,M73,79528850.11
8,glutamate M1,M71,4823966.401
8,glutamate M1,M72,4715305.632
8,glutamate M1,M73,4930490.855
8,glutamine M0,M71,55227580.53
8,glutamine M0,M72,54785420.03
8,glutamine M0,M73,54691071.93
8,glutamine M1,M71,3640470.496
8,glutamine M1,M72,3585335.963
8,glutamine M1,M73,3612711.121
8,lactate M0,M71,307392240.1
8,lactate M0,M72,336926095.5
8,lactate M0,M73,337764266
8,lactate M1,M71,10112014.1
8,lactate M1,M72,11095249.89
8,lactate M1,M73,11128296.63
8,malate M0,M71,256788301.4
8,malate M0,M72,222960448.4
8,malate M0,M73,228120726.9
8,malate M1,M71,11789500.16
8,malate M1,M72,10218419.76
8,malate M1,M73,10671883.25
8,pyruvate M0,M71,222694355.3
8,pyruvate M0,M72,232125290.1
8,pyruvate M0,M73,235872091.5
8,pyruvate M1,M71,7497198.238
8,pyruvate M1,M72,7822074.307
8,pyruvate M1,M73,8015642.246
8,serine M0,M71,12616283.51
8,serine M0,M72,12767697.84
8,serine M0,M73,12526008.92
8,serine M1,M71,457019.7842
8,serine M1,M72,463836.2115
8,serine M1,M73,464034.3631
8,succinate M0,M71,32305051.94
8,succinate M0,M72,32278110.14
8,succinate M0,M73,33001635.77
8,succinate M1,M71,1490157.478
8,succinate M1,M72,1466481.274
8,succinate M1,M73,1495230.121
