plate,date,oxygen,treatment,time,gene,replicate,ct
a,2018-02-12,21%,None,72,SERPINE,a,22.635668
a,2018-02-12,21%,None,72,SERPINE,b,22.610529
a,2018-01-30,0.2%,None,0,SERPINE,a,21.132496
a,2018-01-30,0.2%,None,0,SERPINE,b,21.113064
a,2018-02-04,0.2%,None,0,SERPINE,a,20.78935
a,2018-02-04,0.2%,None,0,SERPINE,b,20.83199
a,2018-02-08,0.2%,None,0,SERPINE,a,21.123512
a,2018-02-08,0.2%,None,0,SERPINE,b,21.059736
a,2018-02-12,0.2%,None,0,SERPINE,a,20.016788
a,2018-02-12,0.2%,None,0,SERPINE,b,19.969992
a,2018-01-30,0.2%,None,24,SERPINE,a,19.853237
a,2018-01-30,0.2%,None,24,SERPINE,b,19.9469
a,2018-02-04,0.2%,None,24,SERPINE,a,21.716639
a,2018-02-04,0.2%,None,24,SERPINE,b,21.739754
a,2018-02-08,0.2%,None,24,SERPINE,a,22.409529
a,2018-02-08,0.2%,None,24,SERPINE,b,22.40095
a,2018-02-12,0.2%,None,24,SERPINE,a,20.793037
a,2018-02-12,0.2%,None,24,SERPINE,b,20.79039
a,2018-01-30,0.2%,None,48,SERPINE,a,22.326912
a,2018-01-30,0.2%,None,48,SERPINE,b,22.33818
a,2018-02-04,0.2%,None,48,SERPINE,a,22.566612
a,2018-02-04,0.2%,None,48,SERPINE,b,22.60516
a,2018-02-08,0.2%,None,48,SERPINE,a,22.955923
a,2018-02-08,0.2%,None,48,SERPINE,b,22.937117
a,2018-02-12,0.2%,None,48,SERPINE,a,22.376204
a,2018-02-12,0.2%,None,48,SERPINE,b,23.053837
a,2018-01-30,0.2%,None,72,SERPINE,a,22.485119
a,2018-01-30,0.2%,None,72,SERPINE,b,22.495014
a,2018-02-04,0.2%,None,72,SERPINE,a,23.038393
a,2018-02-04,0.2%,None,72,SERPINE,b,23.052387
a,2018-02-08,0.2%,None,72,SERPINE,a,23.278374
a,2018-02-08,0.2%,None,72,SERPINE,b,23.323809
a,2018-02-12,0.2%,None,72,SERPINE,a,21.815758
a,2018-02-12,0.2%,None,72,SERPINE,b,21.804325
b,2018-01-30,21%,None,0,ACTIN,a,18.103065
b,2018-01-30,21%,None,0,ACTIN,b,18.202707
b,2018-02-04,21%,None,0,ACTIN,a,18.19122
b,2018-02-04,21%,None,0,ACTIN,b,18.203405
b,2018-02-08,21%,None,0,ACTIN,a,18.234129
b,2018-02-08,21%,None,0,ACTIN,b,18.225058
b,2018-02-12,21%,None,0,ACTIN,a,18.08348
b,2018-02-12,21%,None,0,ACTIN,b,18.135654
