filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
27,glc6 dmso 3 c,20534586.78,1453258.344,3354643.652,676764.0822,1136350.097,922487.6389,7545385.886,531998.8528,1183124.994,238127.9411,438525.4126,360628.9115,6278839.827,80676.42267,160655.6945,4470276.248,0,0,0,0,0,16118145.78,2370085.313,41251611.35,8227806.044,9103003.916,23980679.63,2842715.209,0,0,0,0,0,0,318838578.1,20837030.05,1634484.59,193686.7853,353112.7519,237522.1681,1420612880,54911981.44,110756329.2,3420048884,0,3456030.043,0,0,2947179.496,26195520.9,1231690.731,4145101.531,127089909.1,38778869.56,1484306.939,204105.728,1785748.301,4120477.634,268124.6358,580070.0072,116590.3899,214829.5601
28,glc6 bay 1 a,1765967.014,155802.3302,377198.3187,121016.0403,109803.1532,100440.9592,2348545.953,184499.5609,717240.6656,196155.5118,251720.4946,197001.2189,3440443.452,0,26538.87097,692886.8175,72784759.55,4678030.884,10186921.21,44375732.8,3801629.782,19453737.25,2448209.213,29739448.99,13830145.01,5937080.187,17517236.19,1383867.057,232946789.7,19105796.46,71056775.46,18883202.06,23607711.27,16923265.93,136892118.1,8857483.035,405391.0055,4317.111431,39757.47713,14312.33401,1587577053,58708716.29,15672728.18,494831419.5,10185076.74,623746.0051,1358866.702,5335639.215,485868.8784,35281955.29,1610115.111,1321269.041,42111194.13,13989470.36,445872.305,32931.72835,958773.1774,1046926.898,66574.90581,180321.4604,21549.94645,0
29,glc6 bay 1 b,1944418.407,151945.1182,416762.7647,115395.4775,108089.0216,97745.77013,2681045.577,210202.4855,825888.7722,226104.8447,284553.883,209354.1913,3561419.238,0,25552.83388,759706.5889,77203935.14,4947795.83,10487085.19,44771643.96,3890752.598,20965964.73,2579121.722,29969417.16,13820284.09,6004754.675,17516867.62,1343670.505,243976760.5,19889272.77,74763074.45,19448546.37,24147303.66,17662656.03,187479424.3,12163692.83,444961.463,2731.953729,17787.76319,14523.20333,1871428915,69244397.8,18988095.15,609981531.2,11871431.6,731022.3291,1384714.845,5486262.42,512333.6978,119249430.7,4869768.047,3851246.144,124536176.7,15204031.46,493417.5659,22542.70185,933603.0123,1085021.381,73998.87746,160311.1236,17889.31444,0
30,glc6 bay 1 c,1846717.323,122492.8774,290435.2362,81188.27252,79076.84424,70912.95551,1991368.092,155823.4511,575676.3651,152151.8508,194508.1099,153915.7931,2554647.526,480.86164,21224.68717,642989.0467,63739082.09,3961491.858,8433108.318,36402977.98,3023240.159,26028909.34,2908284.95,27161642.15,12805620.3,5251830.796,15484790.78,1204624.894,232479072.2,19190117.12,68955343.24,18602329.96,22407857.21,15912513.31,165428743.6,10642066.49,421113.2414,11024.38573,4980.001895,26588.7702,2764405358,102811671,16737537.71,532142972.2,19650938.95,1104941.647,1224098.483,4835422.001,426779.0754,56243411.63,2333402.495,1346790.383,43962708.66,14918602.15,502985.7582,18047.80576,872968.0933,1259838.729,70858.39956,139139.1238,15214.24084,0
31,glc6 bay 2 a,3068418.465,231272.4077,804333.2691,254233.9356,401139.0835,358053.5002,2115589.074,155971.6681,726581.2723,208189.9744,423811.5193,342873.0376,4352653.03,1403.414895,28844.01978,999783.7061,75752288.69,4390405.652,10087053.57,79541779.13,4944954.696,15140723.86,1916052.144,28458430.76,12929344.4,6428985.628,28689796.07,1792424.416,282798491.4,22507963,101389292,27354424.83,55085227.42,43150743.67,235225498.8,14892721.18,783267.8272,48670.86428,147249.3252,130666.4208,2421338880,90284498.55,36002420.81,1154079985,10781157.16,606966.0319,1051995.729,8060340.269,539577.8454,43697212.61,1959467.935,2571605.459,80830027.04,24596038.18,899759.7508,112946.4492,2300068.357,1189330.871,78568.49086,146189.8782,21597.05231,58872.79841
32,glc6 bay 2 b,2714408.525,232440.8069,697612.7763,191780.4805,323452.0934,277212.4324,1926987.368,143358.2263,636376.6897,176926.9082,354890.11,289117.3703,2397713.458,835.5034938,23533.75944,790170.6692,67879681.7,3963060.883,8612381.085,67713290.72,4089873.56,13456107.74,1695710.973,24111424.77,11377911.6,5236006.921,23181409.98,1392961.962,220696526.7,17482439.26,76369892.52,21080957.23,39892261.21,30407429.21,178544385.4,11308124.23,508101.9548,21724.0987,111649.2351,84541.57992,1296347335,48711535.6,28744589.64,908120430.9,9408166.372,533439.9845,867867.168,6554083.34,404248.49,49935255.62,2132687.63,2891201.485,91289026.85,17926363.43,633622.4734,70330.09978,1741182.82,1160949.918,71270.46849,141191.7262,18929.10061,12053.93913
33,glc6 bay 2 c,2456973.047,204308.7757,663969.6082,171073.2519,295230.2993,274628.8439,1863769.864,131300.153,611118.4309,170788.541,340163.3862,275220.7706,3535167.007,0,32492.91348,931701.0696,67349241.22,3925637.852,8175922.074,66929108.94,3889642.365,14234488.74,1796788.698,24895791.4,11796996.08,5365813.653,23865838.87,1422065.454,202952949.6,15753231.24,68629172.75,18547283.25,35773796.92,27021267.63,179791523.1,11469374.02,555747.2385,19994.72874,122990.7455,73486.96273,1792455890,66576600.8,31243323.21,989832065.7,9189096.76,517568.451,875762.1507,6711576.407,423278.7419,54057431.31,2308887.11,2674461.138,85421250.83,17665426.02,602383.8114,73578.32806,1572001.9,988052.3743,79443.14185,115175.8221,16757.18252,9187.552352
34,glc6 bay 3 a,6691932.816,529974.014,1523424.991,393429.5142,956895.8465,849524.0705,3754805.077,257082.7968,863218.2767,212926.6626,567516.7025,491376.5576,5296112.951,18847.35587,54161.10067,1663309.894,68644066.03,3765671.594,6584816.024,79280820.79,2804814.339,14148235.96,1855182.521,30531983.45,10352686.11,5688617.552,30276781.2,1382400.75,266597812.1,18817498.64,62505710.9,14806299.85,38212899.58,31712938.94,254927318.9,16446267.44,646560.5505,26738.97342,118740.0939,93734.88107,1266193479,47222740.95,47029740,1511806510,12072383.99,677036.8258,1049951.405,12560801.88,450538.8072,40433257.74,1783093.277,4069984.551,124013231.9,20454226.64,727311.3946,91840.93108,2259309.612,1144928.851,71130.19199,113964.3743,14159.25253,42580.15691
35,glc6 bay 3 b,4481187.886,369127.6785,1069292.674,293732.6757,613819.6572,584504.0648,2577840.611,175891.5501,652187.2581,166604.6132,425608.0957,356146.3343,3016475.844,12389.30414,36624.15017,970815.3341,61712132.57,3336734.44,6103382.218,72389186.72,2658156.902,11258312.92,1518663.937,25623027.27,9890898.017,4829535.857,25827565.63,1154777.749,248497447.2,18406477.3,63030808.01,15558119.44,37693367.03,31067346.49,223388711.8,14408988.42,626894.0004,32629.03605,113480.8842,91481.7642,1008425647,37788539.69,29373287.14,942318665.6,9202932.458,499448.5199,869301.1273,10133765.91,389476.8538,21478038.5,1010251.445,1838228.716,56965148.5,17461570.54,637460.3674,80092.97058,2115834.42,859156.3785,54069.55967,104998.8202,12975.66739,23843.89534
36,glc6 bay 3 c,4947285.548,426526.8862,1148795.437,295854.6916,689416.4136,650694.9612,3830357.541,269521.4216,985790.6486,248682.8039,621059.4819,509560.2231,3902567.898,39901.1505,64552.42954,1500287.66,64498175.47,3779273.44,6200393.379,64566332.77,2728539.672,15909526.07,2205072.881,32320896.21,11074884.86,6628114.189,29368168.91,1668132.064,369621283.9,28777847.5,98111035.22,26732644.39,59640466.39,47359658.95,293868032.8,21358336.41,7543963.95,7183226.328,8365735.718,4748391.412,2480468223,92561409.4,48623440.66,1548796697,15384105.89,890705.6465,1433691.42,14632453.81,632514.6578,37763422.77,1643301.687,1731113.99,50850340.91,26366318.02,966860.2082,112310.235,2347109.001,1350200.371,90863.63654,157584.3563,30346.73388,58437.11356
