filename,id,3PG M0,3PG M1,3PG M2,3PG M3,aconitate M0,aconitate M1,aconitate M2,aconitate M3,aconitate M4,aconitate M5,aconitate M6,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,DHAP M0,DHAP M1,DHAP M2,DHAP M3,FBP M0,FBP M1,FBP M2,FBP M3,FBP M4,FBP M5,FBP M6,G1P M0,G1P M1,G1P M2,G1P M3,G1P M4,G1P M5,G1P M6,G3P M0,G3P M1,G3P M2,G3P M3,G6P M0,G6P M1,G6P M2,G6P M3,G6P M4,G6P M5,G6P M6,GAP M0,GAP M1,GAP M2,GAP M3,palmitate M0,palmitate M1,palmitate M2,palmitate M3,palmitate M4,palmitate M5,palmitate M6,palmitate M7,palmitate M8,PEP M0,PEP M1,PEP M2,PEP M3,R5P M0,R5P M1,R5P M2,R5P M3,R5P M4,R5P M5,sedoheptulose M0,sedoheptulose M1,sedoheptulose M2,sedoheptulose M3,sedoheptulose M4,sedoheptulose M5,sedoheptulose M6,sedoheptulose M7
86,glc2 0.5% 4 b,2528082.351,0,2217986.516,0,8937439.215,265586.5499,2283207.737,0,37526.01574,0,0,163835887.5,11686389.84,27062244.35,1078133.056,1960618.393,0,0,6802359.978,0,7562620.114,0,1029544.406,0,5056032.721,0,1146251.434,55019.99851,0,0,0,0,0,0,0,0,2018531.975,0,256331.2638,0,0,0,802531.7384,0,0,0,0,647270.6916,0,462796.6326,0,61919950.85,10591748.1,1242918.864,0,0,0,0,0,0,310189.2796,0,338540.1094,0,0,568869.3918,294916.1783,215312.3926,0,0,0,0,0,0,0,0,0,0
87,glc2 0.5% 4 c,463342.4641,0,434973.6416,0,5739697.426,146924.8531,994037.5531,0,0,0,0,126444153,9017207.133,12705833.49,311981.5484,707988.8977,0,0,1373923.585,0,1804205.664,0,960808.3844,0,5920282.701,195835.8987,1017810.584,0,0,0,0,0,0,0,0,0,975672.4152,0,0,0,0,0,308771.0274,0,0,0,0,157805.0631,0,0,0,18386243.19,3688666.325,451235.1049,0,0,0,0,0,0,0,0,0,0,0,159935.2856,0,0,0,0,0,0,0,0,0,0,0,0
88,glc6 0.5% 4 a,0,0,0,3000221.557,6767864.79,204241.196,3424078.164,130145.155,0,534302.9607,0,132501703.9,9520154.173,33305326.04,3755519.676,1446130.733,6051798.949,0,0,0,0,3490583.845,0,0,0,324904.8691,0,1025730.856,17875236.67,0,0,0,0,0,0,0,1337137.21,0,0,1981829.297,0,0,0,0,0,0,942733.5916,0,0,0,555675.9131,42980882.4,8451950.239,668477.9027,0,0,0,0,0,0,0,0,0,600713.17,0,0,0,0,0,1983665.908,0,0,319557.2184,0,0,0,0,0
89,glc6 0.5% 4 b,0,0,0,2281250.491,7385048.785,201212.2963,2924073.431,311435.3481,0,203055.319,0,162793466.2,11678448.44,32427131.85,3812713.73,1643708.657,6023506.582,0,0,0,0,4147541.006,0,0,0,355855.1822,0,939535.4888,15004959.69,0,0,0,0,0,0,0,1010604.999,0,0,1084326.771,0,0,0,0,0,0,567051.8467,0,0,0,0,60601934.55,10764048.69,1191236.873,0,0,0,0,0,0,0,0,0,533642.9577,0,0,0,0,0,1628078.221,0,0,285215.9086,0,0,0,0,0
90,glc6 0.5% 4 c,0,0,0,2689814.896,7511133.075,293556.5256,3481640.9,167276.501,0,425475.0381,0,151008527.6,11003215.49,42820654.46,5381416.921,2114558.372,7843496.639,61830.59307,0,0,0,2659780.431,0,0,0,642244.8599,0,1157662.301,20939715.42,0,0,0,0,0,0,0,1131666.541,0,0,1262239.199,0,0,0,0,0,0,898175.3285,0,0,0,0,65166515.68,11880455.37,1304487.913,0,0,0,0,0,0,0,0,0,609641.265,0,0,0,0,0,1629390.275,0,0,0,0,0,0,0,0
91,q5 0.5% 4 a,3777332.988,0,0,0,8416402.034,86550.54038,158747.8931,471115.9071,175706.4374,2229299.929,0,148765073.3,10296098.85,1695764.653,8128388.008,4992213.335,24445690.36,0,2165773.521,0,0,0,21516190.2,1245172.316,0,0,0,0,0,251994.4941,0,0,0,0,0,0,3801502.965,0,0,0,1357413.87,0,0,0,0,0,0,1006060.926,0,0,0,56779955.49,10754109.77,1295514.332,0,0,0,0,0,0,756567.0976,0,0,0,2164467.809,0,0,0,0,0,0,0,0,0,0,0,0,0
92,q5 0.5% 4 b,6412001.704,0,0,0,9128588.36,268265.325,0,673741.6218,363372.8194,2232399.932,0,162177116.1,11102497.3,1491658.939,8128901.323,6155941.44,26200750,0,18128321.91,245372.0007,0,0,4338056.086,0,0,0,0,0,0,307590.9144,0,0,0,0,0,0,3821399.063,0,0,0,994614.841,0,0,0,0,0,0,1517763.455,0,0,0,114156333.5,19640627.92,1756716.201,0,0,0,0,0,0,982264.0522,0,0,0,1722698.38,0,0,0,0,0,0,0,0,0,0,0,0,0
93,q5 0.5% 4 c,5313723.505,0,0,0,9021500.277,171801.5172,132522.8819,602231.0709,341027.3321,2446846.494,0,152602534.9,10278063.17,1574024.254,8052252.289,5916328.819,24343192.58,0,4534623.667,0,0,0,27458613.15,1657167.793,0,0,0,0,0,285890.2318,0,0,0,0,0,0,3820529.197,0,0,0,1218903.723,0,0,0,0,0,0,1036522.176,0,0,0,60067233.05,10120715.79,1190486.969,0,0,0,0,0,0,995557.9696,0,0,0,2754356.268,0,0,0,0,0,0,0,0,0,0,0,0,0
94,lac3 0.5% 4 a,3185733.416,0,0,0,8938390.264,153910.2329,2168649.398,161099.094,0,0,0,163770179.6,11466057.78,27784290.84,3560348.386,333049.9743,1731411.012,0,2469717.422,0,0,0,22042286.69,1164167.912,0,840096.3298,0,0,0,148689.1213,0,0,0,0,0,0,4194405.763,0,0,0,991251.6723,0,0,0,0,0,0,1094046.903,0,0,1282761.135,45702596.43,8630606.247,1198015.235,0,0,0,0,0,0,601913.1734,0,0,0,2727630.982,0,0,0,0,0,0,0,0,0,0,0,0,0
95,lac3 0.5% 4 b,3396893.311,0,0,0,9603463.721,207064.7156,2608726.758,149652.5882,0,0,0,168041538.5,12027169.8,29777371.11,3788102.194,418908.4445,1613478.984,0,2441679.106,0,0,0,22530814.06,1189488.898,0,1073180.495,0,0,0,242379.4271,0,0,0,0,0,0,3594423.726,0,0,0,965821.571,0,0,0,0,0,0,1443253.647,0,0,941881.4544,61516079.71,10658258.92,973098.9115,0,0,0,0,0,0,665758.6824,0,0,0,2250324.315,0,0,0,0,0,0,0,0,0,0,0,0,0
96,lac3 0.5% 4 c,1873707.154,0,0,0,6653038.109,112498.3087,1542192.742,102791.6523,0,0,0,135234401.3,9491245.967,21344417.93,2582729.768,284019.756,1001437.144,0,1656339.932,0,0,0,15850445.97,927189.0604,0,726822.0413,0,0,0,0,0,0,0,0,0,0,2378947.329,0,0,0,513529.4336,0,0,0,0,0,0,835814.8236,0,0,743968.8668,36918091.1,7661015.717,967583.6392,0,0,0,0,0,0,348948.4933,0,0,0,1334896.007,0,0,0,0,0,0,0,0,0,0,0,0,0
