filename,id,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,alanine M0,alanine M1,alanine M2,alanine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,lactate M0,lactate M1,lactate M2,lactate M3,malate M0,malate M1,malate M2,malate M3,malate M4,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,serine M0,serine M1,serine M2,serine M3,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4
22,lac3 dmso 2 a,3461193.405,296381.4361,468295.5573,108420.2569,57001.23491,78841.2182,3190965.928,264004.9851,607828.8554,131328.9576,98639.02144,78236.42097,5052702.863,191659.4591,30881.71188,959319.0544,126938425.9,10521062.41,19856893.23,22282836.42,3050128.599,46880515.67,6151343.588,44486631.61,12674910.06,7583950.364,7361776.722,870921.7816,416550007,36708042.68,85592083.35,19201643.3,13621890.99,7353318.155,213632591.2,13738014.67,1092024.813,175885.3134,83157.12768,126901.5992,3808519221,141636601.6,48663369.84,2453911084,28785410.15,2290636.832,4047677.178,4403294.021,552616.2921,106731130.4,4491486.486,1424541.343,74946171.65,40314724.96,1556636.512,0,42119.18378,4267036.352,330769.7309,451656.2425,72054.30076,0
23,lac3 dmso 2 b,3995989.578,347790.9475,550274.8729,122189.1886,70113.60707,80181.70805,3459357.452,286290.7297,674598.1862,146875.1868,110189.5981,82112.10599,4406003.991,171343.7142,28962.23387,949014.3484,132110074.2,11337142.41,21553274.5,23946367.61,3396943.869,50702749.13,6661353.101,48239885.41,13712199.25,8289320.275,7965453.041,977014.3875,448405943.8,40793013.34,95094620.62,22235136.42,14954232.26,7551083.006,228629598.5,15092857.13,1284974.96,231501.9252,95779.80919,171119.37,2972105065,108911131,52346652.96,2560114469,30379978.38,2315099.999,4439634.457,4612640.443,616568.0294,147273684.5,6197577.714,2225376.735,113521956.6,40416058.9,1486755.152,0,49436.35562,4666304.297,372870.6614,558211.11,85437.4268,0
24,lac3 dmso 2 c,2751813.731,243712.9994,454869.1201,104606.5297,61413.58335,72822.68792,3158276.038,266792.4501,633864.306,138839.8369,99925.29461,73727.75859,5242859.83,165741.5842,31546.21622,932058.8594,118524031.3,9788493.307,18919189.75,21378363.94,3059551.192,51020928.93,6768027.416,50263668.21,14382247.09,8485825.698,8326291.443,982547.1769,387989619.5,35232463.98,81205196.43,17635575.93,12099790.72,6568200.99,212944222.1,13810046.86,1167212.267,164076.8441,96327.50376,171123.5119,2836969742,104711217.1,45197202.64,2248732723,26783637.09,2070816.409,3866025.432,4209414.913,531266.7165,106350155,4535000.049,1528097.404,79634024.21,39155138.03,1468835.394,0,48653.95981,3642580.354,329030.0887,465532.489,72716.68687,0
25,lac3 dmso 3 a,28479.5181,759950.4636,1237139.069,262874.1524,154720.4227,129431.4655,5911017.247,445760.6562,741720.1304,154203.5427,107956.989,77557.93974,6714140.484,253592.9124,48449.14251,1822371.443,131082429.6,9256048.351,13453987,22363371.28,2004272.334,59227160.57,6733669.741,44655763.83,13801123.67,5711557.154,7215045.931,603480.0759,526266585.2,42295759.63,70591533.31,14440112.8,9721305.585,4931036.498,224604372,14575011.83,1040948.542,101398.012,66974.98851,62958.6388,3485908312,128916512.9,38721937.06,1885377837,50131326.22,3307938.104,4557428.231,7572212.162,630007.4761,124805799.1,5265239.418,1462931.624,73556863.82,48893966.2,1844870.187,0,69462.65071,4441590.045,273035.2624,379875.1203,44623.51683,0
26,lac3 dmso 3 b,0,1323792.722,2109375.787,408394.6307,261486.4011,211357.6189,9309676.285,687511.1775,1068714.534,204891.0385,146862.2994,101400.0729,9451517.021,349719.7085,54841.66897,2090781.102,167142704.4,10912935.93,14669338.05,27161877.14,2028924.693,65247676.53,7123871.892,41851794.97,13083187.83,4816522.479,6509627.651,494471.7043,670627726.6,51009395.13,81541203.09,16418514.45,10170264.82,5782181.479,265633017.4,17103889.81,1277100.113,106106.1586,50529.30224,112570.1212,4913305783,182867717,47913149.26,2288909373,61066093.9,3788830.762,5170634.548,9478944.531,635404.7183,199727021.2,8031329.83,2224282.711,110406640.8,49041253.42,1812521.935,0,59008.4934,5061176.341,356822.9609,473215.8492,48308.66126,0
27,lac3 dmso 3 c,25739961.68,1984245.651,2939587.231,595802.1936,349435.8681,225485.4406,12389253.42,935914.2616,1271768.677,255836.2341,166076.9274,112283.7407,6463665.483,235958.9266,48325.6736,1673445.844,180914053.1,11611235.83,13577637.99,27733809.55,1713673.462,69610293.54,7306347.26,38741863.5,12252687.73,4045806.438,5698928.378,363067.5404,594514131,45417172.04,63647169.73,13168022.59,7858988.208,4440737.06,190803510,12136663.71,851937.2647,72182.42609,25163.71002,5308.822734,6579978082,244968014.4,62060935.37,2949365952,70926733.18,4446118.926,4918567.452,10428394.36,617186.0398,200550782.5,8421491.22,2059655.985,100208497,58148855.17,2163681.403,0,75478.98268,6721554.566,408876.658,518675.3513,49754.20247,0
28,lac3 bay 1 a,0,112304.1774,121441.2834,28575.71984,0,58146.04549,1925274.137,140617.4761,447215.6923,114185.496,109309.5009,115034.3143,4273186.009,149735.7696,17742.61745,583608.102,80042859.77,4779064.499,7023691.911,24068722.53,1835798.86,35367474.43,3783860.428,30956486.33,14333484.51,4721199.285,11001970.4,774616.4684,206393973.2,17010659.49,51583458.16,13104086.94,11246952.99,8152603.688,121136027,7664453.953,237716.4993,14889.12045,0,0,7554657928,277449003.8,33286963.52,1636602283,11323844.26,640514.1716,848198.3906,2664606.476,204249.2184,317215210,12626118.61,1686203.88,91864325.65,54123698.12,1971691.434,0,114489.527,3154717.513,174864.0889,173447.1467,12836.42238,0
29,lac3 bay 1 b,1685947.696,129585.8792,123599.267,31451.71975,0,68217.36325,1791194.562,129655.2407,424828.1608,112222.3037,114436.8442,111614.4335,2709276.371,126313.3471,16011.46473,649547.5239,66273589.76,4013324.47,6581823.021,22698581.18,1780186.305,33001239.43,3487109.689,28512012.27,13166321.23,4325425.688,10105662.87,697490.3099,215832478.2,17382457.87,54514112.63,13866936.21,12105691.48,8332859.784,156389468.7,10047338.68,350526.9506,3600.392198,4079.284721,30194.63169,1655413743,60490350.99,43302680.09,2188597429,11151824.61,619894.1721,793672.2065,2452318.365,175975.713,105335716.2,4386481.758,946224.3643,52441094.98,34294651.64,1259390.635,0,111555.0253,3278625.596,222685.436,126129.6408,12338.70374,0
30,lac3 bay 1 c,1446547.101,113046.5619,153998.023,43779.08088,9521.218696,67942.14999,2357520.943,187274.6264,619506.8493,156887.6819,157948.5203,130701.5566,3386279.597,143074.2056,21735.21191,842390.2854,77442532.48,4866109.057,8392462.338,27305740.72,2298798.772,34807087.25,3870909.672,35883182.29,16076724.5,5666616.084,12570980.41,937017.7337,251296493,20107082.04,67183868.43,16733319.83,14632499.14,10304255.65,164489717.6,10589145.62,371732.1851,9732.225653,6884.314842,8842.898445,1806999736,66918575.14,40710747.61,2068185576,10261333.99,612916.2016,1036122.197,2992858.537,224763.1303,134913800.4,5594129.051,1469451.071,79573605.81,35033680.82,1321791.439,0,143542.5292,4404144.146,312047.7103,169353.0022,15903.82168,0
31,lac3 bay 2 a,0,128735.9058,254682.6774,63335.56664,35718.46563,90446.10089,1706701.476,123869.8846,459448.0218,121163.8149,136768.761,134364.2032,4384924.441,161841.6955,26588.23082,905439.829,73997018.47,4175434.193,5548554.927,35665168.73,1647595.259,26187861.09,2759055.357,27921268.08,14033412.98,3689889.502,11693811.59,593430.1577,222886206.5,16894989.36,61530702.69,16515762.29,15557429.33,11597617.15,173396938.2,11137902.42,601604.0595,36242.21118,36136.89559,97973.14086,2018219126,73820339.93,34651088.53,1727383841,7810501.143,418844.5392,494806.4339,3095652.551,138837.2628,88494869.94,3802355.355,1444688.6,76059347.42,36224817.62,1438856.973,0,411817.7229,1774594.721,121175.2755,125476.6041,10939.52838,0
32,lac3 bay 2 b,1341893.868,96456.93084,172332.0128,48925.61845,26444.39157,74364.65798,1417008.929,97638.53432,365998.3435,94319.8001,98498.24935,110105.212,4956197.84,179769.8301,19533.02633,774087.4959,0,0,0,0,0,19702621.6,2033032.96,19164233.19,9652908.064,2537597.624,8480081.041,413028.5177,194860123,15262266.23,53445757.03,14158486.89,13672023.37,10219861.85,172546635.3,11237161.98,519922.4434,42043.2689,24567.67706,28142.70558,4819974798,175210248.2,46329986.92,2310354999,7969798.154,438808.6637,408471.1549,2590051.583,114713.9511,171430942.3,6935831.38,2277604.612,116218575.5,49818208.69,1862727.75,0,395584.2482,1636034.136,108344.4637,131201.0876,9789.402466,0
33,lac3 bay 2 c,1544579.859,129490.6516,296433.8193,80375.63643,60327.49322,104134.3683,2012921.155,145158.2248,575640.6759,149163.4994,154149.8073,148445.944,7093385.701,216141.0343,42450.98028,1251385.402,0,0,0,0,0,24455191.06,2626785.402,25248688.42,12548776.21,3397233.325,10357351.05,519962.7488,293902410.3,22749079.14,84437840.98,22486392.2,21121577.6,15349915.99,247106449.9,15647507.55,795669.0858,58584.70484,68181.0394,83396.28577,3355069341,121951851,56273492.16,2819552361,8004680.34,424782.164,552503.4072,3171303.809,158533.984,157393050.9,6445701.005,2832008.091,141137968.9,40561506.93,1508526.431,0,431363.877,1553182.375,167485.6799,181974.6155,10726.16124,0
