filename,id,2HG_M0,2HG_M1,2HG_M2,2HG_M3,2HG_M4,2HG_M5,2OG_M0,2OG_M1,2OG_M2,2OG_M3,2OG_M4,2OG_M5,alanine_M0,alanine_M1,alanine_M2,alanine_M3,aspartate_M0,aspartate_M1,aspartate_M2,aspartate_M3,aspartate_M4,citrate_M0,citrate_M1,citrate_M2,citrate_M3,citrate_M4,citrate_M5,citrate_M6,glutamate_M0,glutamate_M1,glutamate_M2,glutamate_M3,glutamate_M4,glutamate_M5,glutamine_M0,glutamine_M1,glutamine_M2,glutamine_M3,glutamine_M4,glutamine_M5,lactate_M0,lactate_M1,lactate_M2,lactate_M3,malate_M0,malate_M1,malate_M2,malate_M3,malate_M4,pyruvate_M0,pyruvate_M1,pyruvate_M2,pyruvate_M3,serine_M0,serine_M1,serine_M2,serine_M3,succinate_M0,succinate_M1,succinate_M2,succinate_M3,succinate_M4
12,lac3 21% 1 c,2412915.74,172423.0209,91268.16169,13076.14616,13180.346,22838.53033,3726817.268,270002.0738,573282.3793,77343.58995,56166.30068,44715.00908,1661254.873,107413.1724,8679.320745,688732.1722,36272225.62,2153855.709,2508970.421,3783496.073,308090.7205,27470461.62,2570109.422,11454002.86,2551006.889,1134486.751,1465072.826,78525.11222,174568333,12915191.9,26711369.95,3913230.824,2887617.37,1715488.802,376265659.8,24035736.11,471857.6291,0,0,713384.8638,958725837.8,35764888.28,8847366.397,427815549.2,43806157.99,2598437.008,3028497.229,4344339.327,344590.5973,28376781.92,1231091.485,174506.2558,14652385.98,22994144.26,863091.7818,10875.64487,122647.2898,1496445.873,44459.95712,69686.00771,6224.752099,0
13,glc2 0.5% 1 a,2063327.365,137956.6382,67542.304,1430.171039,0,8139.744089,3007722.815,197626.2477,343276.7429,20735.92502,30008.7391,7356.164122,974853.2213,64619.74417,163798.9716,2165.338594,35676081.87,2005215.312,3866861.494,115781.9495,25580.92435,25702453.91,2335582.328,5375384.66,396466.6283,561978.4647,114204.1603,180.201521,133318195.6,9371580.774,15328856.64,733195.0482,1376168.825,12443.51462,272489675.7,17602099.89,314438.1713,0,0,32771.8784,582939469.8,22716447.79,34166984.74,791355.5615,31567237.46,1701106.935,3034924.308,103341.8595,17046.12238,15933563.66,835990.9217,3952385.667,43142.62922,18741597.52,780851.1944,760088.6413,10602.63476,960187.0826,84365.42763,11964.61261,0,0
14,glc2 0.5% 1 b,2088927.551,147931.7334,59405.08371,0,8956.954526,12826.85823,2852532.359,180066.278,330894.1016,12530.22302,29111.21355,17496.8569,1078811.39,59933.94111,153412.6658,573.46374,36170633.24,2004194.793,3749316.398,128444.8522,20221.50591,28112798.71,2513995.864,5935020.591,384431.8145,568182.7698,62155.75388,0,132406733.4,9360867.523,15118893.78,683724.8022,1299540.534,7130.869456,262943681.1,16998304.03,304326.2265,0,0,26482.95701,728320765.6,27716349.37,35188778.61,1852828.814,30891165.71,1683189.474,3035256.635,97009.42701,7359.093969,17469521.84,874184.1764,3580009.385,22684.15281,19293231.18,813799.1162,763494.4774,7215.951136,1129725.297,60623.104,16476.45165,0,0
15,glc2 0.5% 1 c,2065089.304,148241.7831,55496.31255,0,4289.431379,5919.026839,2607138.021,168725.0687,308997.1954,12371.58146,23334.33601,0,1047070.536,61209.3483,143793.5689,576.8498027,36067635.97,1966124.128,3823246.346,105568.2256,17476.93985,28092191.5,2512924.487,5903776.436,361698.3883,557802.42,53761.87379,45.54976472,128834313.5,9078206.648,14570741.27,691878.7929,1217632.198,16558.2078,250495244.1,16065093.92,269277.5179,0,0,117741.6892,622051451.5,23970524.1,31586108.68,649717.8596,30288894.48,1665539.291,2727512.819,89133.32511,9980.133229,17848006.47,850960.3792,3373479.892,30571.40019,20627149.08,857327.28,739807.5734,8025.420216,1148180.286,41425.62369,26372.37843,0,0
16,glc6 0.5% 1 a,2275681.615,158082.4224,111712.6507,22482.35384,20490.70713,28675.41653,3102672.744,211298.5121,606156.8909,118754.8702,96561.80999,82286.33364,1347963.23,696.48431,8878.465913,552382.6645,40564569.1,2180389.634,1681755.848,9446622.049,290892.8688,23692941.1,2132889.695,7835845.646,2737046.886,688492.4434,2113119.501,49646.19507,146551855,10560785.99,28141611.32,5475790.713,4519256.208,3046997.686,267448856.3,17193023.41,360600.7985,0,720.5809823,45276.56785,955378547.4,36031302.69,2844844.819,86926948.67,30537004.9,1632622.687,1261620.182,6366517.46,213229.8263,21164133.14,957271.0081,183235.3279,9617402.232,20322423.38,754991.3223,103301.9811,1863126.906,1236640.128,47221.8227,36885.69505,0,0
17,glc6 0.5% 1 b,2329142.801,157142.3056,105693.1414,19734.17838,19691.65855,4736.375851,3171897.868,217938.3894,626476.3795,117783.3264,100725.9352,83233.54289,794963.2547,0,7857.698208,472640.5113,37306236.48,2009121.3,1602817.911,8755126.574,296098.6856,23896450.9,2163156.846,8503933.481,3191107.156,752840.2579,2294279.276,54281.87492,142188651.9,10220510.41,27980947.16,5508040.801,4405117.685,2902210.027,265502819.7,17019816.08,319268.7601,0,0,23360.02517,522196533.8,19807440.14,2637838.209,88156288.44,32681085.53,1734326.63,1348257.67,6470758.605,224963.2239,12861956.84,558807.1456,175042.7456,9940880.468,16267520.86,595320.4792,126251.2663,1996268.44,1005859.143,55514.49553,48645.61645,0,0
18,glc6 0.5% 1 c,2051549.604,139820.1502,67415.8373,13564.23079,13349.52761,13380.76746,2339549.931,153269.9397,422338.4295,86942.1342,58657.79274,56975.80174,826055.4005,2547.473637,4455.813098,290864.6998,29317810.03,1616281.247,1129052.313,6267361.788,176365.9402,20029597.14,1773793.642,5364002.436,2179548.204,438835.7739,1352019.879,25263.39343,108383305.4,7560667.531,20171184.77,4180371.603,2871121.09,1972612.099,193151917.3,12371998.01,250882.5725,0,0,48172.23413,398258035,15197847.46,1783020.576,59114510.58,25077997.42,1311986.003,908282.8091,4531190.237,146882.5235,11708608.99,547089.9071,95772.62977,7538865.96,19081365.08,752531.4567,92701.81708,1600153.188,1399302.807,59363.6337,39104.89386,0,0
19,q5 0.5% 1 a,1903802.683,116839.9119,2708.171316,30494.22349,22773.78944,663355.111,1253496.973,79332.65192,65231.05949,159401.7089,102727.3823,3484555.366,1603961.639,100443.8112,0,926.7695502,39258804.43,2031348.875,546072.7163,2864300.151,4015416.764,26351059.26,2156723.975,640006.2131,1520066.414,1910068.195,4973215.339,51001.46367,56620028.26,3788999.714,2225872.433,7577398.216,4867125.029,162258531.2,2892207.308,55431.97387,269.7214916,100051.3725,16315575.4,577113091,675186706.5,25601095.34,23836.66311,392299.4979,30423622.65,1639266.019,352723.7166,1965316.763,3401339.424,25823944.4,1059930.086,0,2645.871568,25876654.73,880955.4286,1497.694977,0,940545.3523,33461.40482,2458.538947,0,0
20,q5 0.5% 1 b,1992238.445,140859.2752,10093.9126,96814.37525,28251.56252,879900.3206,1447737.291,122651.2352,105431.5504,583449.8133,175337.6166,5677906.31,3141378.552,188844.871,0,10045.20481,38338549.62,2529473.475,2897159.791,3154289.784,20793209.21,29926318.88,2828479.108,1881204.749,2793513.115,12219101.48,4916176.842,61340.97544,56750737.71,5841530.284,4456286.081,26588239.48,7432463.152,247909287.4,3270963.623,69727.42063,0,154868.546,23011039.21,803961639.1,1566887783,59058225.02,304764.8688,296933.8047,38722859.37,2524299.73,3106226.161,3336796.522,23872087.62,84393725.47,3419514.712,0,104831.3046,34257118.19,1202734.116,5054.473991,0,1246813.088,94723.83242,74197.39802,3915.59291,0
21,q5 0.5% 1 c,1402363.045,100906.8811,2944.162043,18800.36118,25064.81019,506273.419,1145599.989,70977.06984,40618.81819,130080.4934,81847.69047,2883850.589,1982282.154,110878.0411,0,1505.524533,41176410.29,2185164.43,443192.207,2217809.552,3536517.109,30049361.73,2538612.682,428048.1977,1554576.843,2408905.427,5372225.168,44123.28966,55602045.53,3768188.086,1994751.588,6274241.26,4315824.945,141640453.7,15992862.08,516566.7726,237.6003721,226315.3637,32935868.41,1128914244,620019832.9,22947613.36,519861.6262,24848620.73,23675678.42,1218595.411,270534.0926,1437324.411,2809385.161,59039418.26,2390761.69,0,544335.9108,33813894.13,1222781.016,0,0,940945.7004,35002.64766,0,0,0
