filename,id,pyruvate M0,pyruvate M1,pyruvate M2,pyruvate M3,lactate M0,lactate M1,lactate M2,lactate M3,alanine M0,alanine M1,alanine M2,alanine M3,glutamine M0,glutamine M1,glutamine M2,glutamine M3,glutamine M4,glutamine M5,glutamate M0,glutamate M1,glutamate M2,glutamate M3,glutamate M4,glutamate M5,serine M0,serine M1,serine M2,serine M3,aspartate M0,aspartate M1,aspartate M2,aspartate M3,aspartate M4,succinate M0,succinate M1,succinate M2,succinate M3,succinate M4,2HG M0,2HG M1,2HG M2,2HG M3,2HG M4,2HG M5,2OG M0,2OG M1,2OG M2,2OG M3,2OG M4,2OG M5,malate M0,malate M1,malate M2,malate M3,malate M4,citrate M0,citrate M1,citrate M2,citrate M3,citrate M4,citrate M5,citrate M6
11,glc2 dmso 4 b,100193674.9,7456177.218,85129534.76,2484126.095,3173522408,201547015.9,2169739705,60180005.89,18067507.69,842187.2848,5189731.483,157796.3366,493618584.5,32766991.04,6582277.393,1068063.829,1255298.314,55659.56319,1110646346,137450306.3,364246820.2,66604689.49,74459455.89,9598807.834,42193592.93,2454389.96,2542793.366,65308.51759,346864900.4,40556471.98,125478357,16165490.13,9587533.233,4503255.744,554229.5326,1106113.916,222552.0695,152390.3518,5863425.88,656101.6456,1760423.213,308799.8163,346512.9078,52654.34118,22855510.95,2865508.293,7715207.977,1414568.437,1617297.305,215947.2639,137137076.5,16295015.67,49362306.26,6398114.917,3923671.423,159348759.1,31772943.02,173105922.6,25900890.12,44591957.5,5354950.69,2478643.297
12,glc2 dmso 4 c,86926042.96,6490286.05,73388342.09,2082884.693,2963711049,185545142,1997440678,54333901.78,17764710.51,937769.4159,6867601.286,205924.9702,569367986.4,37647107.38,7601852.398,1204015.351,1367033.896,46336.58042,1110308527,132876799.2,350791755.4,60515092.68,69238402.31,8772180.145,47392709.68,2764563.669,3061928.549,85901.17069,336868733.1,38428070.13,118088079,14345126.92,8631097.449,4724105.325,509082.6922,1060946.002,197242.5049,158390.6165,6074849.271,663811.8877,1660873.419,291616.0271,345632.6902,64358.18601,22241069.27,2624251.388,7098055.031,1258084.916,1498072.05,183767.7215,133319227.6,15155070.89,46785683.23,5693838.307,3608938.871,158815792.2,30086227.93,168664906.6,24097446.67,42340847.58,4898299.78,2292013.574
13,glc2 bay 1 a,80984505.12,3843355.424,24534591.22,537974.5731,1150761604,46517321.43,170637675,3489140.42,6086089.182,191072.1275,274305.8633,5739.262142,180027057.2,11581518.18,446171.3417,NA,3104.210103,6261.941023,300603186.8,23274974.25,67672671.75,4265010.834,9947175.204,247795.5386,18809860.99,737734.4782,672502.6968,4686.928098,127323185,7412938.784,30813133.05,1166863.461,454407.1651,1632709.673,89457.25181,65050.26814,3026.810705,NA,1829414.909,131203.6926,147254.3897,8883.692694,20131.12474,15046.27084,2538354.359,191519.3349,549617.6685,37788.95823,81315.3583,5835.543143,11549311.92,664647.6919,2023596.24,79327.8964,34408.6882,49410082.47,5165185.484,29495455.99,2242610.466,4812669.01,190905.1585,1684.637169
14,glc2 bay 1 b,74306988.73,3506704.989,21527885.27,464130.455,1165203331,47421322.15,176306344,3603455.057,4984235.145,161653.0752,238688.7602,3988.293148,166648936.7,10634942.18,417491.1493,NA,3687.097141,992.1264235,277346951.7,21687973.56,63406095.87,4139690.026,9736581.753,190781.93,16954765.73,611953.4822,650899.545,3970.470421,120629852.7,7148947.588,29190672.49,1077557.705,445375.1202,1266766.414,72035.71296,66460.21634,2276.622549,NA,1810825.577,139666.4475,150313.4014,7421.159109,18820.75075,22885.34084,2245530.282,165953.4557,486135.061,32992.37395,77254.92774,4407.94017,11430094.87,658216.6418,1920194.415,68001.64813,31905.33589,48200440.96,5077633.01,28666460.69,2077317.597,4813892.544,171628.4905,4107.129243
15,glc2 bay 1 c,98134688.86,4571205.055,27011234.31,578546.505,1556633143,60687819.39,130255644.8,2219461.249,5725502.026,174089.8109,222598.4532,2734.242941,154362891.4,9846898.132,374207.7364,4891.403991,NA,65332.21289,277267213,21319198.2,59340173.14,3685737.527,8372901.132,175426.816,18529519.57,709584.7557,592052.774,7779.234099,119056570.9,6845375.316,27476058.88,1064740.351,324585.1211,1803028.588,107785.0331,66984.54645,6399.375178,NA,2417352.163,171690.6409,113490.468,6873.655555,14637.35197,NA,2199426.278,159473.9681,432302.2808,26579.91204,63123.01953,5104.768249,14032553.4,760338.2647,1653714.7,54335.36041,21779.49459,49106881.31,4919655.246,25079156.44,1741452.979,3996304.857,132264.1854,1426.075924
16,glc2 bay 2 a,80035367.81,4159751.388,37367525.39,850551.6155,1240262712,53389447.2,309299595.3,6710720.655,7114261.647,155857.021,356583.1239,6037.851172,226564968.8,14460042.54,685248.8968,NA,15050.66795,NA,287414275.9,23009204.51,80278622.1,5313921.851,15493489.12,498607.9902,20343486.35,803872.8629,1088274.262,13456.60803,129673563.4,7748936.627,38808219.47,1536797.65,594494.7877,1523428.414,86036.6527,87297.32034,5457.281958,NA,1477516.493,112308.9414,220179.3554,10854.22832,42966.53097,NA,2491684.74,188455.7583,674433.2195,48234.01632,135943.3116,4935.971594,10090151.18,597075.2546,2670192.494,98333.33591,47225.309,42068727.4,4571400.005,31675838.03,2293579.748,6441071.47,239293.2968,16833.31234
17,glc2 bay 2 b,127123818.2,6598665.699,62742412.47,1432177.609,1522507374,65787954,383920057.8,8457344.457,6150207.132,172096.9294,336183.6836,8006.841229,220467107.8,14141274.57,662511.2478,NA,19291.86645,362457.1096,295619218.4,23909823.9,83366781.6,5850471.752,16488340.4,593525.8628,20562643.17,793932.3304,1141438.312,17017.49565,126004892,7594363.576,37984592.97,1418793.441,614552.9475,1370380.665,82338.93706,92592.27907,4141.17786,NA,1644976.248,117299.1298,266690.2652,17195.33095,50218.09592,26131.16351,2840611.118,214524.1811,785604.3324,59492.83428,166985.2791,10218.2257,11039009.86,641524.2617,2899956.532,106897.9418,56176.54241,44563077.25,4881616.911,34860726.22,2553640.466,7302545.671,277647.1647,30479.45171
18,glc2 bay 2 c,52191959.71,2723741.575,23469950.41,499994.6737,1020933881,42720325.09,214251311.5,4327111.351,5790814.62,159639.9461,304457.9605,7040.072892,173401974.5,11026533.65,511857.1192,1474.44972,11273.14352,4113.242621,270644165.1,21540485.42,72846326.48,4839281.165,13849816.39,432501.0934,17472054.73,662789.2046,1036281.36,20820.78185,116194869.8,7134424.567,35715375.71,1361632.523,556538.6538,1478961.063,100924.6621,90535.19474,2411.839953,NA,1357720.13,104378.1386,197414.6991,9504.076183,37155.7699,NA,2231893.739,162080.2557,589687.5771,39270.20318,118880.6978,9119.083872,9031686.362,564502.3174,2362387.113,81245.52898,34794.84739,39874162.63,4424873.845,30390971.84,2186864.713,6163809.32,224354.145,4896.374999
19,glc2 bay 3 a,52249653.15,2795868.329,26854480.6,583410.9618,1036246592,43544181.29,219853191.3,4774059.779,4023512.867,164302.8473,408420.2498,8219.767066,191262210.2,12161868.82,706106.6614,NA,36461.31932,7454.94179,247296857.8,19634490.31,70035714.02,4670408.081,15395333.99,470741.5267,21023258.1,818889.0061,1372247.643,23464.18079,117686110.9,7021022.073,39537460.75,1569081.652,452980.6121,1416150.423,73820.03885,60661.29042,1319.953025,NA,1604019.189,114846.1972,210959.8792,12893.36952,49129.22402,NA,1946476.356,141494.5646,531015.3766,34981.99755,118714.0748,5203.008874,10028118.22,598038.5662,2773171.945,103007.8334,39281.09021,31873510.44,3588497.391,26806878.44,1996074.032,5858559.526,226136.4966,13912.28931
20,glc2 bay 3 b,59673285.78,3162096.472,30334696.73,653488.0256,1728011234,71030010.47,306690382.5,6534259.274,4768063.538,189266.8522,456774.7592,9649.124909,210575467,13667614.9,841773.9146,6067.785677,61408.61035,39841.94857,274339747.2,21900101.82,84683903.97,5664663.204,18642270.22,634248.9175,23653734.06,946359.1296,1494720.991,24318.9862,129544443.9,7994515.934,41672430.01,1684808.887,670608.4712,1376813.261,76729.00153,76442.44554,3694.700553,NA,1718012.385,129374.645,315067.9977,18611.31895,67611.71886,NA,2559615.173,201861.7588,769002.5175,54880.71005,180154.9839,10620.85361,11730644.08,705743.9696,3468377.071,130835.7676,52340.91678,39914722.52,4543544.285,35036784.33,2603160.578,7910554.391,322017.1711,30517.1543
21,glc2 bay 3 c,38544023.11,2171209.701,25098371.42,541845.9141,994574813.4,44624516.06,318437009.3,6744925.78,7113980.247,193596.8798,550076.2949,9812.870652,239093593,15406308.79,834827.9951,5314.425459,86514.19476,5515.55836,303539534.1,24406844.85,94400441.4,6542683.972,20861805.79,768100.7986,23143701.9,960001.0831,1657451.025,32780.59809,136107107.5,8487895.89,46944341.36,1745699.285,675975.7969,1471999.248,71189.00384,106845.6968,3083.58375,NA,1844357.418,144318.8032,361336.9282,23018.86895,81593.35141,27809.12605,2726735.672,213497.2928,835111.349,62285.48245,192899.711,9372.1756,12448094.45,742180.5509,3696623.916,140222.6449,62793.2118,45812536.21,5113603.389,40396192.36,2997869.512,9213646.807,372233.4227,31543.48072
22,glc2 bay 4 a,86609214.33,4615593.769,45124656.24,1076004.149,3302711403,137871988,609034733.8,13623904.93,11090230.38,330794.7042,771352.7453,19962.19129,284822986.1,18566949.52,1019385.5,7591.553442,73116.1607,86863.7875,353550450.1,28268467.28,102674682.4,7101878.386,23427027.42,725239.8693,38561781.06,1518961.883,1895522.575,32558.3837,172771754.8,10168827.8,51538023.17,1964138.801,631267.4626,1482276.54,67388.68448,90760.65919,3962.352417,3954.740804,2763788.678,204275.4919,558324.2138,38276.415,130984.0577,NA,3303153.312,248642.0607,947771.8333,61276.04189,220966.3794,11689.16578,14289946.47,867253.0888,4388677.254,168637.5974,58687.61732,51488594.68,5923188.822,44670315.51,3301457.505,10290044.47,406206.8432,40098.60315
23,glc2 bay 4 b,62758640.49,3217878.413,26815449.28,609973.9861,2373347572,99013236.99,459490635.2,10296635.01,7397315.481,214715.9092,648456.2445,16142.52499,235254461.6,14998521.05,971562.0161,1388.827802,91493.95373,20354.82822,312915593.1,24903330.18,97104400.99,6884242.634,22042810.18,743635.1218,25385271,1023227.255,1766956.341,27579.53062,139305897.4,8460933.556,45149545.91,1728903.095,711838.0191,1436271.026,72988.69705,105977.0866,5749.923493,NA,2803292.932,215141.4394,576824.3124,37762.85748,131773.2289,NA,3274168.265,253714.946,975300.6013,68287.29651,230239.6664,11332.65336,15345683.71,917969.6523,4480420.673,174168.1649,70220.40379,53519157.02,6210703.751,47278549.82,3524805.221,10857924.28,457829.773,68372.93505
