method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,glc2,21%,None,AKG,24,M5,0.0019832332140279625,4.640256658627237e-4
sim,glc2,21%,None,AKG,36,M0,0.8635143534380948,0.0033137824171471423
sim,glc2,21%,None,AKG,36,M1,0.010287584378021986,5.790991034597561e-4
sim,glc2,21%,None,AKG,36,M2,0.10643711448193109,0.0028099219912531385
sim,glc2,21%,None,AKG,36,M3,0.005318767963201042,6.0147986626062566e-5
sim,glc2,21%,None,AKG,36,M4,0.013293886526078266,1.9674408720177786e-4
sim,glc2,21%,None,AKG,36,M5,0.002129342537387017,2.5429198562338697e-4
sim,glc2,21%,None,AKG,48,M0,0.8427313493783481,0.0021300879726546115
sim,glc2,21%,None,AKG,48,M1,0.011169030749615304,2.4651454169718914e-4
sim,glc2,21%,None,AKG,48,M2,0.12211692562134462,0.0015399309920126067
sim,glc2,21%,None,AKG,48,M3,0.006440611756736079,5.702166375689604e-5
sim,glc2,21%,None,AKG,48,M4,0.015525373856390183,3.138934148744324e-4
sim,glc2,21%,None,AKG,48,M5,0.001737667042864858,1.1072486655572215e-4
sim,glc2,0.5%,None,AKG,12,M0,0.9020768887700785,0.002780610190909645
sim,glc2,0.5%,None,AKG,12,M1,0.002835965338313778,3.6400189055089347e-4
sim,glc2,0.5%,None,AKG,12,M2,0.08592673583427893,0.002986077902856695
sim,glc2,0.5%,None,AKG,12,M3,7.643257770216482e-5,7.514961864330295e-5
sim,glc2,0.5%,None,AKG,12,M4,0.007104169164386401,4.548732475950713e-4
sim,glc2,0.5%,None,AKG,12,M5,0.0029376401649985496,1.5970956226730556e-4
sim,glc2,0.5%,None,AKG,24,M0,0.8853876423630453,0.011486669332514217
sim,glc2,0.5%,None,AKG,24,M1,0.002251590457699567,5.479472929610225e-4
sim,glc2,0.5%,None,AKG,24,M2,0.09800993265110691,0.00930430759366315
sim,glc2,0.5%,None,AKG,24,M3,3.292391247329966e-4,1.284721287986368e-4
sim,glc2,0.5%,None,AKG,24,M4,0.009567465703618121,6.132614503816918e-4
sim,glc2,0.5%,None,AKG,24,M5,0.0018632580320954322,3.552675428469419e-4
sim,glc2,0.5%,None,AKG,36,M0,0.8913226434367628,0.008156696959588991
sim,glc2,0.5%,None,AKG,36,M1,0.004745429425289885,1.5684616502909698e-4
sim,glc2,0.5%,None,AKG,36,M2,0.09931233141969523,0.003025905361606077
sim,glc2,0.5%,None,AKG,36,M3,6.848300195909801e-4,2.6510179386300393e-4
sim,glc2,0.5%,None,AKG,36,M4,0.010556421435925107,6.286346131304243e-4
sim,glc2,0.5%,None,AKG,36,M5,9.573916992752721e-4,3.5161035065737795e-4
sim,glc2,0.5%,None,AKG,48,M0,0.8934904760293085,0.005097933842389205
sim,glc2,0.5%,None,AKG,48,M1,0.002696206442780366,9.652843193442839e-4
sim,glc2,0.5%,None,AKG,48,M2,0.09221691134818341,0.003971602068686786
sim,glc2,0.5%,None,AKG,48,M3,5.995278229785398e-4,3.467670352997403e-4
sim,glc2,0.5%,None,AKG,48,M4,0.009817002575706174,6.370511363646198e-4
sim,glc2,0.5%,None,AKG,48,M5,5.119233511798051e-4,3.017815010838969e-4
sim,glc6,21%,None,AKG,12,M0,0.8447520890729595,0.00261674696545774
sim,glc6,21%,None,AKG,12,M1,0.006033308447522088,3.413795579895087e-4
sim,glc6,21%,None,AKG,12,M2,0.10589287089246398,0.0027282195861381754
sim,glc6,21%,None,AKG,12,M3,0.013105076975434008,3.18234276253046e-4
sim,glc6,21%,None,AKG,12,M4,0.016709506766474935,0.0012875742325746751
sim,glc6,21%,None,AKG,12,M5,0.015233067574603128,9.009643002505351e-4
sim,glc6,21%,None,AKG,24,M0,0.7833736065188455,0.0054057108538524525
sim,glc6,21%,None,AKG,24,M1,0.00783864802033974,2.40046736633326e-4
sim,glc6,21%,None,AKG,24,M2,0.14337931803372925,0.0035028560011237954
sim,glc6,21%,None,AKG,24,M3,0.018048020612277352,6.394296875535916e-4
sim,glc6,21%,None,AKG,24,M4,0.028915400777348558,2.588733484676889e-4
sim,glc6,21%,None,AKG,24,M5,0.020610995183463373,5.36860260053992e-4
sim,glc6,21%,None,AKG,36,M0,0.7344957687435122,0.005499115585950617
sim,glc6,21%,None,AKG,36,M1,0.008005706350174347,5.647584783781473e-4
sim,glc6,21%,None,AKG,36,M2,0.1689614431073102,0.004118860519892396
sim,glc6,21%,None,AKG,36,M3,0.022112183922513642,3.2188244412690523e-4
sim,glc6,21%,None,AKG,36,M4,0.03925609871415518,0.00080891233530845175
sim,glc6,21%,None,AKG,36,M5,0.027168799162334258,4.4377533554341536e-4
sim,glc6,21%,None,AKG,48,M0,0.7034167950833146,0.0041338318463554034
sim,glc6,21%,None,AKG,48,M1,0.008311336071568014,3.529710025815615e-4
sim,glc6,21%,None,AKG,48,M2,0.18129544815814597,0.0020209874666136446
sim,glc6,21%,None,AKG,48,M3,0.024913446509990212,7.354074113749109e-5
sim,glc6,21%,None,AKG,48,M4,0.04679270192830296,8.936178445286302e-4
sim,glc6,21%,None,AKG,48,M5,0.031218535871786728,4.2988210774116183e-4
sim,glc6,0.5%,None,AKG,12,M0,0.7970164069522313,0.0028998512929063196
sim,glc6,0.5%,None,AKG,12,M1,0.0028626178868384738,8.715856042712808e-4
sim,glc6,0.5%,None,AKG,12,M2,0.13362386840977053,0.002723316495482413
sim,glc6,0.5%,None,AKG,12,M3,0.02433677158910933,4.157692326585529e-4
sim,glc6,0.5%,None,AKG,12,M4,0.021103198095691705,6.06661761495335e-4
sim,glc6,0.5%,None,AKG,12,M5,0.01990297460588688,7.431310154408928e-4
sim,glc6,0.5%,None,AKG,24,M0,0.7750571402659789,0.019625889709841568
sim,glc6,0.5%,None,AKG,24,M1,0.0037633613773030952,0.0012272834037427246
sim,glc6,0.5%,None,AKG,24,M2,0.14752508328050307,0.011747956543593967
